image_id,file_path,SMILES,hydrogen_atom_count,has_aromatic_ring
US07320974-20080122-C00123,synthetic/indigo_resize/US07320974-20080122-C00123.png,CCCCC[C@@H]1C[C@@H](OC(=O)/C=C(/C)CCCC)C[C@](O)([C@@H]2CSC(=O)N2)O1,35.0,0
US07317101-20080108-C00179,synthetic/indigo_resize/US07317101-20080108-C00179.png,CNC(=S)NCCS(=O)(=O)O,10.0,0
US07316884-20080108-C00056,synthetic/indigo_resize/US07316884-20080108-C00056.png,CC1(Br)OC(C)(C23CC4CC(CC(C4)C2)C3)OC1=O,21.0,0
US07320965-20080122-C00006,synthetic/indigo_resize/US07320965-20080122-C00006.png,CCOC(=O)C1CN(C(=O)CCCCCNC(=O)O[C@H]2CC[C@@]3(C)C(=CCC4C3CC[C@@]3(C)C4CC[C@@H]3C(C)CCCC(C)C)C2)CC1=O,66.0,0
US07323604-20080129-C00058,synthetic/indigo_resize/US07323604-20080129-C00058.png,CC[C@H](CC=O)CC(C)C,18.0,0
US07314936-20080101-C00478,synthetic/indigo_resize/US07314936-20080101-C00478.png,CN[C@@H](COC)CC(C)C,19.0,0
US07323448-20080129-C00053,synthetic/indigo_resize/US07323448-20080129-C00053.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C,33.0,0
US07323447-20080129-C00063,synthetic/indigo_resize/US07323447-20080129-C00063.png,CC(C)(C)NS(=O)(=O)C1(C2(O)CCCCC2)CC1,25.0,0
US07316884-20080108-C00072,synthetic/indigo_resize/US07316884-20080108-C00072.png,C=CC(=O)OC1C2CC3C(=O)OC1C3C2,12.0,0
US07316884-20080108-C00060,synthetic/indigo_resize/US07316884-20080108-C00060.png,CC1(Br)OC2(CC3CCC2C3)OC1=O,13.0,0
US07323448-20080129-C00027,synthetic/indigo_resize/US07323448-20080129-C00027.png,CCCCC(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)C,29.0,0
US07314952-20080101-C00004,synthetic/indigo_resize/US07314952-20080101-C00004.png,C1C2CC3CC1CC(C2)C3,16.0,0
US07316884-20080108-C00067,synthetic/indigo_resize/US07316884-20080108-C00067.png,C.C.C.C.CCC(C)(CC(C)(C)C(=O)OC1COC(=O)C1)C(=O)OC1(C)C2CC3CC(C2)CC1C3,54.0,0
US07315341-20080101-C00067,synthetic/indigo_resize/US07315341-20080101-C00067.png,C.C.CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,20.0,0
US07319131-20080115-C00025,synthetic/indigo_resize/US07319131-20080115-C00025.png,CC(C)NCC1([N+](=O)[O-])COCN(C(C)C)C1,23.0,0
US07317008-20080108-C00056,synthetic/indigo_resize/US07317008-20080108-C00056.png,CC1=CC(O)CC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CC(O)CC1(C)C,56.0,0
US07323286-20080129-C00106,synthetic/indigo_resize/US07323286-20080129-C00106.png,CCC1C2CC(C1CCC(C)(C(=O)OC)C(F)(F)F)C(C(=O)OC(C)(C)C)(C(F)(F)F)C2,32.0,0
US07317101-20080108-C00190,synthetic/indigo_resize/US07317101-20080108-C00190.png,C/N=C(\NN)N1CCN(C=O)CC1,15.0,0
US07321046-20080122-C00005,synthetic/indigo_resize/US07321046-20080122-C00005.png,C=C/C=C\[C@H](C)[C@@H]1OC(=O)/C=C\C=C\[C@@H](C)[C@@H](O)C[C@H](O)/C=C\[C@H](C)[C@H](O)[C@@H](C)C[C@@H](C)CC[C@@H](O)[C@@H]1C,52.0,0
US07320974-20080122-C00132,synthetic/indigo_resize/US07320974-20080122-C00132.png,C=CCCC[C@@H]1C[C@@H](NC(=O)/C=C(/C)CCC=C)C[C@](O)([C@@H]2CSC(=O)N2)O1,32.0,0
US07323447-20080129-C00080,synthetic/indigo_resize/US07323447-20080129-C00080.png,CCCNC(=O)C1(S(=O)(=O)NC(=O)OC(C)(C)C)CC1,22.0,0
US07323448-20080129-C00074,synthetic/indigo_resize/US07323448-20080129-C00074.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N1CCCC1)C(C)(C)C,33.0,0
US07323286-20080129-C00105,synthetic/indigo_resize/US07323286-20080129-C00105.png,CCC1C2CC(C1CCC(C)(C)C#N)C(C(=O)OC(C)(C)C)(C(F)(F)F)C2,32.0,0
US07317101-20080108-C00084,synthetic/indigo_resize/US07317101-20080108-C00084.png,C/N=C(/NC)N1CCNCC1,16.0,0
US07323448-20080129-C00071,synthetic/indigo_resize/US07323448-20080129-C00071.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](COC)C(C)(C)C,30.0,0
US07323604-20080129-C00084,synthetic/indigo_resize/US07323604-20080129-C00084.png,CC1=CC(=O)CC(C)(C)C1,14.0,0
US07323448-20080129-C00039,synthetic/indigo_resize/US07323448-20080129-C00039.png,CCCC(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,29.0,0
US07323448-20080129-C00022,synthetic/indigo_resize/US07323448-20080129-C00022.png,CCCCC(CN(O)C=O)C(=O)N[C@@H](C)C(=O)N1CCOCC1,27.0,0
US07323448-20080129-C00042,synthetic/indigo_resize/US07323448-20080129-C00042.png,CN(C)C(=O)[C@@H](NC(=O)C(CN(O)C=O)C1CCCC1)C(C)(C)C,31.0,0
US07316884-20080108-C00084,synthetic/indigo_resize/US07316884-20080108-C00084.png,C=CC(=O)OCC1COC2(O1)C1CC3CC(C1)CC2C3,22.0,0
US07323604-20080129-C00089,synthetic/indigo_resize/US07323604-20080129-C00089.png,O=C1CCC(C2SCCCS2)C1,14.0,0
US07314888-20080101-C00092,synthetic/indigo_resize/US07314888-20080101-C00092.png,C.C.C.C.C.CC(=O)NC1CSSCC(C(N)=O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)CNC1=O,85.0,0
US07317101-20080108-C00033,synthetic/indigo_resize/US07317101-20080108-C00033.png,N[C@@H]1C(=O)N2C(C(=O)O)=C(C=O)CS[C@H]12,8.0,0
US07317022-20080108-C00063,synthetic/indigo_resize/US07317022-20080108-C00063.png,CC(C)(C)N1CCC(N2CCCS2(=O)=O)C1,22.0,0
US07314871-20080101-C00053,synthetic/indigo_resize/US07314871-20080101-C00053.png,CCCC(=O)NC(C)C(=O)O,13.0,0
US07314936-20080101-C00471,synthetic/indigo_resize/US07314936-20080101-C00471.png,CNC1CC2CCC(C1)C2=O,15.0,0
US07316884-20080108-C00065,synthetic/indigo_resize/US07316884-20080108-C00065.png,C.C.C.C.C.C.CCC1(CC(C)(CC(C)(C)C(=O)OC2COC(=O)C2)C(=O)OC2(C)C3CC4CC(C3)CC2C4)OC2(CC3CCC2C3)OC1=O,74.0,0
US07323604-20080129-C00093,synthetic/indigo_resize/US07323604-20080129-C00093.png,CC(C)(C)C1CCCC(=O)C1,18.0,0
US07314936-20080101-C00479,synthetic/indigo_resize/US07314936-20080101-C00479.png,CNC1CCC(C2(C)OCC(C)(C)CO2)CC1,27.0,0
US07323604-20080129-C00085,synthetic/indigo_resize/US07323604-20080129-C00085.png,CC1CC(=O)CC(C)(C)C1,16.0,0
US07320974-20080122-C00048,synthetic/indigo_resize/US07320974-20080122-C00048.png,CC[C@@H]1/C=C\CC/C(C)=C\C(=O)O[C@@H]2C[C@@H](CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,31.0,0
US07317000-20080108-C00018,synthetic/indigo_resize/US07317000-20080108-C00018.png,CC(C)(C)OC(=O)N1CC(=O)OC(=O)C1,13.0,0
US07317007-20080108-C00018,synthetic/indigo_resize/US07317007-20080108-C00018.png,CC(C)(C)OC(=O)NC(=N)N,13.0,0
US07314576-20080101-C00030,synthetic/indigo_resize/US07314576-20080101-C00030.png,CCCCCCCC[C@]1(C)CCC(=O)O1,24.0,0
US07323604-20080129-C00088,synthetic/indigo_resize/US07323604-20080129-C00088.png,O=C1C=C(C2SCCCS2)CC1,12.0,0
US07315341-20080101-C00069,synthetic/indigo_resize/US07315341-20080101-C00069.png,C.C.CCC(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCO,50.0,0
US07314576-20080101-C00032,synthetic/indigo_resize/US07314576-20080101-C00032.png,CCCCCC1CCCC(=O)O1,18.0,0
US07314883-20080101-C00029,synthetic/indigo_resize/US07314883-20080101-C00029.png,CC(C)(C)OC(=O)N1CCC(N)(C#N)CC1,19.0,0
US07323044-20080129-C00005,synthetic/indigo_resize/US07323044-20080129-C00005.png,CCCCCC/C=C/C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C/C=C/CCCCCC)OC(=O)CCCCCCC/C=C/C=C/CCCCCC,98.0,0
US07317101-20080108-C00168,synthetic/indigo_resize/US07317101-20080108-C00168.png,CNC(=N)N1CCN(C)CC1,16.0,0
US07314888-20080101-C00093,synthetic/indigo_resize/US07314888-20080101-C00093.png,C.C.C.C.C.CC(=O)NC1CSSCC(C(N)=O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)CNC1=O,82.0,0
US07323448-20080129-C00045,synthetic/indigo_resize/US07323448-20080129-C00045.png,CCCCCCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,39.0,0
US07323608-20080129-C00068,synthetic/indigo_resize/US07323608-20080129-C00068.png,CCN[C@H]1CCCC[C@@H]1NCC,22.0,0
US07317008-20080108-C00044,synthetic/indigo_resize/US07317008-20080108-C00044.png,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)C(OP(=O)([O-])OC[C@H](O)[C@H]3OC(=O)C(O)=C3O)CC2(C)C)C(C)(C)CC(OP(=O)([O-])OC[C@H](O)[C@H]2OC(=O)C(O)=C2O)C1=O,64.0,0
US07323448-20080129-C00023,synthetic/indigo_resize/US07323448-20080129-C00023.png,CCCCC(CN(O)C=O)C(=O)N[C@@H](C)C(=O)N(C)C,25.0,0
US07321063-20080122-C00118,synthetic/indigo_resize/US07321063-20080122-C00118.png,CC(=O)OCCN1CCCC1=O,13.0,0
US07314778-20080101-C00008,synthetic/indigo_resize/US07314778-20080101-C00008.png,CC1(C)CC(C(C)(C)N2C(=O)C=CC2=O)CCC1N1C(=O)C=CC1=O,24.0,0
US07320974-20080122-C00054,synthetic/indigo_resize/US07320974-20080122-C00054.png,C[C@H]1CC[C@@H]2C[C@H](C[C@](O)([C@@H]3CSC(=O)N3)O2)OC(=O)CCCCOC1,29.0,0
US07323448-20080129-C00075,synthetic/indigo_resize/US07323448-20080129-C00075.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N1CCOCC1)C(C)(C)C,33.0,0
US07314576-20080101-C00012,synthetic/indigo_resize/US07314576-20080101-C00012.png,CC1C/C(=C/C2CCCCC2)C(=O)O1,18.0,0
US07314883-20080101-C00198,synthetic/indigo_resize/US07314883-20080101-C00198.png,CC(C)(C)OC(=O)N1CCC(=O)C(C)(C)C1,21.0,0
US07317032-20080108-C00018,synthetic/indigo_resize/US07317032-20080108-C00018.png,CCCCCN1CCC(NC)C1,22.0,0
US07315341-20080101-C00040,synthetic/indigo_resize/US07315341-20080101-C00040.png,C.C.CCC(C)C(=O)OCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCOCCCO,96.0,0
US07316884-20080108-C00057,synthetic/indigo_resize/US07316884-20080108-C00057.png,C=C1OC(C)(C23CC4CC(CC(C4)C2)C3)OC1=O,20.0,0
US07314883-20080101-C00186,synthetic/indigo_resize/US07314883-20080101-C00186.png,COC(=O)C(CN1CCC(O)CC1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,34.0,0
US07318932-20080115-C00025,synthetic/indigo_resize/US07318932-20080115-C00025.png,O=C(ON1C(=O)CCC1=O)ON1C(=O)CCC1=O,8.0,0
US07317101-20080108-C00199,synthetic/indigo_resize/US07317101-20080108-C00199.png,CN(N)C(=N)N1CCNCC1,15.0,0
US07323448-20080129-C00054,synthetic/indigo_resize/US07323448-20080129-C00054.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)CCO)C(C)(C)C,33.0,0
US07316931-20080108-C00050,synthetic/indigo_resize/US07316931-20080108-C00050.png,CCCCCCC(N)C(=O)O,17.0,0
US07317101-20080108-C00170,synthetic/indigo_resize/US07317101-20080108-C00170.png,CNC(=N)NCCN(C)C,16.0,0
US07317070-20080108-C00008,synthetic/indigo_resize/US07317070-20080108-C00008.png,CCOC(=O)CCC(NC)C(C)=O,17.0,0
US07323447-20080129-C00058,synthetic/indigo_resize/US07323447-20080129-C00058.png,CCCC1(S(N)(=O)=O)CC1,13.0,0
US07314876-20080101-C00035,synthetic/indigo_resize/US07314876-20080101-C00035.png,CC(C)(C)OCOC(C)(C)C,20.0,0
US07317032-20080108-C00017,synthetic/indigo_resize/US07317032-20080108-C00017.png,CCCCCN1CCC(N(C)C(=O)OC(C)(C)C)C1,30.0,0
US07314888-20080101-C00097,synthetic/indigo_resize/US07314888-20080101-C00097.png,C.C.C.C.C.CC(=O)NC1CSSCC(C(N)=O)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(N)=O)NC(=O)CNC1=O,88.0,0
US07321068-20080122-C00001,synthetic/indigo_resize/US07321068-20080122-C00001.png,C1CC2C3CCC(C3)C2C1,16.0,0
US07314576-20080101-C00010,synthetic/indigo_resize/US07314576-20080101-C00010.png,CCCCCCCCCC=C1CC(C)OC1=O,26.0,0
US07323447-20080129-C00077,synthetic/indigo_resize/US07323447-20080129-C00077.png,CC(C)(C)OC(=O)NS(=O)(=O)C1(CC2CC2)CC1,21.0,0
US07323447-20080129-C00098,synthetic/indigo_resize/US07323447-20080129-C00098.png,C=C[C@@H]1C[C@]1(N)C(=O)NS(=O)(=O)N(C)CC,17.0,0
US07317012-20080108-C00038,synthetic/indigo_resize/US07317012-20080108-C00038.png,COC(=O)C(=O)C1CCCCC1,14.0,0
US07314960-20080101-C00024,synthetic/indigo_resize/US07314960-20080101-C00024.png,CCCC(=O)C(CC)CC,18.0,0
US07320974-20080122-C00013,synthetic/indigo_resize/US07320974-20080122-C00013.png,C=CCCC[C@@H]1C[C@@H](OC(=O)C=C(C)C)C[C@](O)([C@@H]2CSC(=O)N2)O1,27.0,0
US07314960-20080101-C00022,synthetic/indigo_resize/US07314960-20080101-C00022.png,CC(C)C(=O)C(C)C(C)C,18.0,0
US07314576-20080101-C00014,synthetic/indigo_resize/US07314576-20080101-C00014.png,CCCCCC1CCC(=O)O1,16.0,0
US07320965-20080122-C00002,synthetic/indigo_resize/US07320965-20080122-C00002.png,CCOC(=O)CCNCC(=O)OCC,17.0,0
US07323448-20080129-C00066,synthetic/indigo_resize/US07323448-20080129-C00066.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(C)C,25.0,0
US07314943-20080101-C00093,synthetic/indigo_resize/US07314943-20080101-C00093.png,CC1CCC(=C2SCCCS2)CC1,18.0,0
US07315341-20080101-C00022,synthetic/indigo_resize/US07315341-20080101-C00022.png,C=COCC(F)(F)C(F)(F)C(F)(F)C(F)F,6.0,0
US07314960-20080101-C00023,synthetic/indigo_resize/US07314960-20080101-C00023.png,CCCCC1CCCCO1,18.0,0
US07317022-20080108-C00052,synthetic/indigo_resize/US07317022-20080108-C00052.png,CN(C1CCS(=O)(=O)CC1)C(C)(C)C,21.0,0
US07323448-20080129-C00040,synthetic/indigo_resize/US07323448-20080129-C00040.png,CC(C)CC(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,31.0,0
US07320974-20080122-C00114,synthetic/indigo_resize/US07320974-20080122-C00114.png,C=CCCC[C@@H]1C[C@@H](OC(=O)/C=C(/C)CCC=C)C[C@](O)([C@@H]2CSC(=O)N2)O1,31.0,0
US07323448-20080129-C00056,synthetic/indigo_resize/US07323448-20080129-C00056.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)[C@@H](C)CC,31.0,0
US07314883-20080101-C00193,synthetic/indigo_resize/US07314883-20080101-C00193.png,CN(C)/C=C1\CN(C(=O)OC(C)(C)C)CCC1=O,22.0,0
US07320974-20080122-C00115,synthetic/indigo_resize/US07320974-20080122-C00115.png,C=CCCC[C@@H]1C[C@@H](OC(=O)C=C(C)C)C[C@](O)([C@@H]2CSC(=O)N2)O1,27.0,0
US07323448-20080129-C00087,synthetic/indigo_resize/US07323448-20080129-C00087.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)SC,31.0,0
US07321063-20080122-C00229,synthetic/indigo_resize/US07321063-20080122-C00229.png,CC(=O)C(NC(N)=O)NC(N)=O,10.0,0
US07314778-20080101-C00025,synthetic/indigo_resize/US07314778-20080101-C00025.png,CC(C)(N)C1CCC(N)C(C)(C)C1,24.0,0
US07314883-20080101-C00190,synthetic/indigo_resize/US07314883-20080101-C00190.png,CC(C)(C)OC(=O)NC(CN1CCC(=O)CC1)C(=O)N1CCC(N2CCCCC2)CC1,40.0,0
US07317022-20080108-C00054,synthetic/indigo_resize/US07317022-20080108-C00054.png,CC(=O)N(C)C1CCN(C(C)(C)C)C1,22.0,0
US07314633-20080101-C00005,synthetic/indigo_resize/US07314633-20080101-C00005.png,CCOC(=O)CC(C(=O)OCC)=C1CC(C)(C)N(O)C(C)(C)C1,29.0,0
US07314937-20080101-C00123,synthetic/indigo_resize/US07314937-20080101-C00123.png,CCN(CC)CCCC(C)N,22.0,0
US07317101-20080108-C00188,synthetic/indigo_resize/US07317101-20080108-C00188.png,CN1CCN(C(=N)NN)CC1,15.0,0
US07323447-20080129-C00074,synthetic/indigo_resize/US07323447-20080129-C00074.png,COCC1(S(=O)(=O)NC(=O)OC(C)(C)C)CC1,19.0,0
US07323448-20080129-C00048,synthetic/indigo_resize/US07323448-20080129-C00048.png,CC(C)C(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,29.0,0
US07323448-20080129-C00043,synthetic/indigo_resize/US07323448-20080129-C00043.png,CCCCCCC(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,35.0,0
US07317101-20080108-C00161,synthetic/indigo_resize/US07317101-20080108-C00161.png,CNC(=N)N1CCN(C=O)CC1,14.0,0
US07323448-20080129-C00092,synthetic/indigo_resize/US07323448-20080129-C00092.png,C=CCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,29.0,0
US07316472-20080108-C00348,synthetic/indigo_resize/US07316472-20080108-C00348.png,CCCCC(CC)COC(C)=O,20.0,0
US07314576-20080101-C00016,synthetic/indigo_resize/US07314576-20080101-C00016.png,CCCCCCCC1CCC(=O)O1,20.0,0
US07317124-20080108-C00012,synthetic/indigo_resize/US07317124-20080108-C00012.png,C1CCC2=NCCCN2CC1,16.0,0
US07317008-20080108-C00027,synthetic/indigo_resize/US07317008-20080108-C00027.png,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(OP(=O)([O-])O)CC2(C)C)C(C)(C)CC(OP(=O)([O-])O)C1,56.0,0
US07320971-20080122-C00001,synthetic/indigo_resize/US07320971-20080122-C00001.png,C[C@@H]1CC2(N=CCS2)C2(O)O[C@@H]3C[C@]4(C=O)C5CC[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@H]4C[C@H]3O[C@@H]2O1,41.0,0
US07317101-20080108-C00167,synthetic/indigo_resize/US07317101-20080108-C00167.png,CNC(=N)N1CC[N+](C)(C)CC1,19.0,0
US07320974-20080122-C00041,synthetic/indigo_resize/US07320974-20080122-C00041.png,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)([C@@H]1CCSC(=O)N1)C2,31.0,0
US07320974-20080122-C00040,synthetic/indigo_resize/US07320974-20080122-C00040.png,C/C1=C/C(=O)O[C@@H]2C[C@@H](CCC/C=C\CC1)O[C@@](O)([C@@H]1COC(=O)N1)C2,27.0,0
US07316815-20080108-C00019,synthetic/indigo_resize/US07316815-20080108-C00019.png,CCCCCC(N)C(=O)O,15.0,0
US07323448-20080129-C00070,synthetic/indigo_resize/US07323448-20080129-C00070.png,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](CO)C(C)(C)C,28.0,0
US07315341-20080101-C00045,synthetic/indigo_resize/US07315341-20080101-C00045.png,C.C.CCC(C)C(=O)N1CC1C(F)(F)C(F)(F)C(F)(F)C(F)F,21.0,0
US07320867-20080122-C00009,synthetic/indigo_resize/US07320867-20080122-C00009.png,CC.CO[C@@H]1C(COS(=O)(=O)[O-])O[C@@H](O[C@H]2C(C(=O)[O-])OCC(OS(=O)(=O)[O-])[C@@H]2O)C(NS(=O)(=O)[O-])[C@@H]1O,25.0,0
US07319132-20080115-C00012,synthetic/indigo_resize/US07319132-20080115-C00012.png,O=C(Cl)CCCCCN1C(=O)C=CC1=O,12.0,0
US07323447-20080129-C00060,synthetic/indigo_resize/US07323447-20080129-C00060.png,C=CCC1(S(=O)(=O)NC(C)(C)C)CC1,19.0,0
US07317101-20080108-C00178,synthetic/indigo_resize/US07317101-20080108-C00178.png,CCCC/N=C(\NC)SC,16.0,0
US07315341-20080101-C00060,synthetic/indigo_resize/US07315341-20080101-C00060.png,C.C.CCC(C)C(=O)OC1CCC2CCCCC2C1,34.0,0
US07314576-20080101-C00024,synthetic/indigo_resize/US07314576-20080101-C00024.png,CCCCCC[C@@H]1C[C@H](C)OC1=O,20.0,0
US07320974-20080122-C00045,synthetic/indigo_resize/US07320974-20080122-C00045.png,C[C@@H]1/C=C\CCC2=C(CCC2)C(=O)O[C@@H]2C[C@@H](CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,31.0,0
